feature,importance
num__rolling_mean_7,0.50692767
num__rolling_mean_14,0.20826156
num__on_promo,0.08297359
num__discount_pct,0.049532767
num__day_of_week,0.03011013
num__is_weekend,0.026806507
num__rolling_mean_28,0.010279821
num__rolling_std_7,0.0071557728
num__week_of_year,0.0035324981
cat__item_id_SKU005,0.003450565
num__lag_7,0.0032597298
num__lag_1,0.003258353
num__rolling_std_14,0.0032218534
num__stock_on_hand,0.0031959487
num__rolling_std_28,0.00305907
num__month,0.0030118008
num__lag_14,0.002992158
num__ordering_cost,0.002820213
num__holding_cost_rate,0.0026351812
num__holiday_flag,0.0025070119
num__unit_cost,0.0024622905
num__price,0.0024091473
cat__item_id_SKU019,0.0023083775
cat__item_id_SKU002,0.0020181688
num__supplier_lead_time_days,0.0019547315
cat__category_Grocery,0.0018817469
cat__item_id_SKU001,0.0018344723
cat__item_id_SKU016,0.0017852535
cat__item_id_SKU003,0.0017752629
cat__item_id_SKU018,0.0017698022
cat__category_Pharma,0.0016982785
cat__item_id_SKU020,0.0016732439
cat__item_id_SKU004,0.0016616514
cat__item_id_SKU017,0.0015274293
cat__store_id_S4,0.0013582521
cat__category_Apparel,0.001344758
cat__item_id_SKU014,0.001261128
cat__item_id_SKU013,0.0011222136
cat__store_id_S5,0.0010934504
cat__store_id_S3,0.0010592517
cat__item_id_SKU012,0.0010478098
cat__item_id_SKU011,0.0010413863
cat__category_Electronics,0.0010191607
cat__item_id_SKU015,0.001014231
cat__store_id_S1,0.0009742833
cat__store_id_S2,0.00069128553
cat__item_id_SKU010,0.00026097783
cat__item_id_SKU007,0.0002558783
cat__item_id_SKU009,0.00024195362
cat__item_id_SKU008,0.00023548266
cat__item_id_SKU006,0.00022646485
num__stockout_flag,0.0
